Sr. No.,Company Name,Job Title,Salaries Reported,Location,Salary,Average Salary,Weighted Average Salary,Median Salary,Level,Years of Exp
1,Mu Sigma,Data Scientist,105,Bangalore,64857,96489,89337,72000,Junior,1-6
2,IBM,Data Scientist,95,Bangalore,119190,96495,89339,72000,Mid,7-14
3,Tata Consultancy Services,Data Scientist,66,Bangalore,83687,96490,89339,72000,Junior,1-6
4,Impact Analytics,Data Scientist,40,Bangalore,66957,96493,89339,72000,Junior,1-6
5,Accenture,Data Scientist,32,Bangalore,94411,96500,89339,72000,Junior,1-6
6,Infosys,Data Scientist,30,Bangalore,90876,96500,89339,72000,Junior,1-6
7,Capgemini,Data Scientist,28,Bangalore,92612,96502,89339,72000,Junior,1-6
8,Cognizant Technology Solutions,Data Scientist,26,Bangalore,73670,96503,89339,71958,Junior,1-6
9,Anheuser-Busch InBev,Data Scientist,25,Bangalore,164672,96508,89339,71916,Mid,7-14
10,Fractal,Data Scientist,22,Bangalore,139296,96492,89339,71916,Mid,7-14
11,Embibe,Data Scientist,20,Bangalore,140477,96482,89339,71916,Mid,7-14
12,Amazon,Data Scientist,19,Bangalore,150734,96472,89339,71916,Mid,7-14
13,Google,Data Scientist,19,Bangalore,155809,96460,89339,71916,Mid,7-14
14,Flipkart,Data Scientist,18,Bangalore,255784,96446,89339,71885,Mid,7-14
15,HP Inc.,Data Scientist,16,Bangalore,151000,96409,89339,71853,Mid,7-14
16,Wipro,Data Scientist,15,Bangalore,73282,96396,89338,71793,Junior,1-6
17,Ericsson-Worldwide,Data Scientist,15,Bangalore,122175,96402,89338,71733,Mid,7-14
18,MiQ,Data Scientist,15,Bangalore,173948,96396,89338,71728,Mid,7-14
19,Deloitte,Data Scientist,14,Bangalore,112493,96378,89338,71722,Mid,7-14
20,Microsoft,Data Scientist,14,Bangalore,163039,96374,89338,71677,Mid,7-14
21,Genpact,Data Scientist,14,Bangalore,100943,96359,89338,71632,Mid,7-14
22,HP Inc.,Data Scientist,14,Bangalore,55098,96358,89338,71629,Junior,1-6
23,HP Inc.,Data Scientist,13,Bangalore,167000,96367,89338,71632,Mid,7-14
24,Flutura,Data Scientist,13,Bangalore,75837,96351,89338,71629,Junior,1-6
25,Fuzzy Logix,Data Scientist,13,Bangalore,155657,96355,89338,71625,Mid,7-14
26,DXC Technology,Data Scientist,12,Bangalore,119432,96342,89338,71625,Mid,7-14
27,Jio,Data Scientist,11,Bangalore,147000,96336,89338,71625,Mid,7-14
28,Honeywell,Data Scientist,10,Bangalore,154994,96325,89337,71623,Mid,7-14
29,Affine,Data Scientist,10,Bangalore,100943,96311,89337,71621,Mid,7-14
30,Philips,Data Scientist,9,Bangalore,154157,96310,89337,71611,Mid,7-14
31,Bharat Light & Power,Data Scientist,9,Bangalore,81118,96297,89337,71600,Junior,1-6
32,Antuit,Data Scientist,9,Bangalore,120587,96300,89337,71579,Mid,7-14
33,Nielsen,Data Scientist,9,Bangalore,72711,96294,89337,71558,Junior,1-6
34,Accenture,Data Scientist,9,Bangalore,192325,96300,89337,71543,Mid,7-14
35,Fidelity Investments,Data Scientist,9,Bangalore,214350,96278,89337,71527,Mid,7-14
36,Myntra,Data Scientist,9,Bangalore,132696,96250,89336,71526,Mid,7-14
37,First Student,Data Scientist,9,Bangalore,49525,96242,89336,71524,Junior,1-6
38,Oracle,Data Scientist,8,Bangalore,129498,96253,89336,71526,Mid,7-14
39,Ola,Data Scientist,8,Bangalore,233496,96245,89336,71524,Mid,7-14
40,Walmart Global Tech,Data Scientist,8,Bangalore,226761,96213,89335,71445,Mid,7-14
41,Tredence,Data Scientist,8,Bangalore,136699,96183,89335,71366,Mid,7-14
42,Intel Corporation,Data Scientist,8,Bangalore,145342,96173,89335,71356,Mid,7-14
43,Mercedes-Benz Research and Development India,Data Scientist,8,Bangalore,145803,96162,89334,71346,Mid,7-14
44,SAP,Data Scientist,8,Bangalore,173016,96150,89334,71307,Mid,7-14
45,Wipro Technologies,Data Scientist,8,Bangalore,65810,96132,89334,71267,Junior,1-6
46,Thoucentric,Data Scientist,8,Bangalore,79446,96139,89334,71307,Junior,1-6
47,Walmart,Data Scientist,8,Bangalore,256738,96143,89334,71267,Mid,7-14
48,Brillio,Data Scientist,8,Bangalore,163723,96106,89333,71267,Mid,7-14
49,Great Learning,Data Scientist,7,Bangalore,90000,96090,89333,71266,Junior,1-6
50,Gramener,Data Scientist,7,Bangalore,90293,96091,89333,71266,Junior,1-6
51,HCL Technologies,Data Scientist,7,Bangalore,97078,96093,89333,71266,Junior,1-6
52,Happiest Minds Technologies,Data Scientist,7,Bangalore,105000,96093,89333,71264,Mid,7-14
53,Hewlett Packard Enterprise | HPE,Data Scientist,7,Bangalore,211958,96090,89333,71261,Mid,7-14
54,Noodle.ai,Data Scientist,7,Bangalore,168711,96063,89332,71257,Mid,7-14
55,Cisco Systems,Data Scientist,7,Bangalore,146564,96046,89331,71252,Mid,7-14
56,INSOFE,Data Scientist,7,Bangalore,60000,96035,89331,71241,Junior,1-6
57,Optum,Data Scientist,7,Bangalore,180586,96043,89331,71252,Mid,7-14
58,Adobe,Data Scientist,6,Bangalore,262406,96023,89331,71241,Mid,7-14
59,Accenture,Data Scientist,6,Bangalore,95529,95984,89330,71230,Junior,1-6
60,EY,Data Scientist,6,Bangalore,76147,95985,89330,71221,Junior,1-6
61,Swiggy,Data Scientist,6,Bangalore,280547,95989,89330,71212,Mid,7-14
62,Subex,Data Scientist,6,Bangalore,96911,95946,89328,71189,Junior,1-6
63,iNeuron,Data Scientist,6,Bangalore,45097,95946,89328,71165,Junior,1-6
64,ZS Associates,Data Scientist,6,Bangalore,133879,95958,89329,71189,Mid,7-14
65,Robert Bosch India,Data Scientist,6,Bangalore,104049,95949,89328,71165,Mid,7-14
66,Scienaptic Systems,Data Scientist,6,Bangalore,129154,95947,89328,71150,Mid,7-14
67,FlyNava Technologies,Data Scientist,6,Bangalore,59913,95939,89328,71135,Junior,1-6
68,Nokia,Data Scientist,6,Bangalore,166318,95948,89328,71150,Mid,7-14
69,UnitedHealth Group,Data Scientist,6,Bangalore,132338,95931,89328,71135,Mid,7-14
70,Sigmoid Analytics,Data Scientist,6,Bangalore,124626,95923,89327,71135,Mid,7-14
71,Idexcel,Data Scientist,6,Bangalore,49414,95916,89327,71134,Junior,1-6
72,Citi,Data Scientist,5,Bangalore,189275,95927,89327,71135,Mid,7-14
73,GE Healthcare,Data Scientist,5,Bangalore,157205,95905,89327,71134,Mid,7-14
74,SigTuple,Data Scientist,5,Bangalore,202453,95891,89326,71117,Mid,7-14
75,Dell Technologies,Data Scientist,5,Bangalore,192756,95866,89325,71100,Mid,7-14
76,iNeuron,Data Scientist,5,Bangalore,80000,95843,89324,71039,Junior,1-6
77,Ericsson IT Solutions & Services,Data Scientist,5,Bangalore,200979,95847,89324,70978,Mid,7-14
78,Aptus Data Labs,Data Scientist,5,Bangalore,83146,95822,89324,70964,Junior,1-6
79,UniQreate,Data Scientist,5,Bangalore,51632,95825,89324,70949,Junior,1-6
80,LinkedIn,Data Scientist,5,Bangalore,233324,95835,89324,70964,Mid,7-14
81,Apexon,Data Scientist,5,Bangalore,120000,95803,89323,70949,Mid,7-14
82,Shadowfax Technologies,Data Scientist,5,Bangalore,200652,95797,89322,70924,Mid,7-14
83,Bharti Airtel,Data Scientist,5,Bangalore,216000,95773,89321,70899,Mid,7-14
84,Applied Materials,Data Scientist,5,Bangalore,134131,95744,89320,70899,Mid,7-14
85,FICO,Data Scientist,5,Bangalore,163410,95735,89320,70899,Mid,7-14
86,YouPlus,Data Scientist,5,Bangalore,138925,95719,89319,70867,Mid,7-14
87,Mphasis,Data Scientist,5,Bangalore,100000,95709,89319,70835,Mid,7-14
88,Target,Data Scientist,5,Bangalore,123111,95708,89319,70828,Mid,7-14
89,Gojek,Data Scientist,5,Bangalore,235294,95702,89318,70821,Mid,7-14
90,Blueocean Market Intelligence,Data Scientist,5,Bangalore,74455,95669,89317,70804,Junior,1-6
91,CRED,Data Scientist,5,Bangalore,301468,95674,89317,70787,Mid,15-25
92,Rolls-Royce,Data Scientist,5,Bangalore,135720,95626,89315,70708,Mid,7-14
93,Curl Analytics,Data Scientist,4,Bangalore,105319,95616,89315,70628,Mid,7-14
94,J.P. Morgan,Data Scientist,4,Bangalore,133760,95614,89314,70628,Mid,7-14
95,Knowledge Lens,Data Scientist,4,Bangalore,58590,95605,89314,70628,Junior,1-6
96,IBM,Data Scientist,4,Bangalore,39543,95614,89314,70628,Junior,1-6
97,ascena,Data Scientist,4,Bangalore,164993,95627,89315,70628,Mid,7-14
98,QuantZig,Data Scientist,4,Bangalore,113806,95610,89314,70628,Mid,7-14
99,Baker Hughes,Data Scientist,4,Bangalore,161274,95606,89314,70628,Mid,7-14
100,Everlytics,Data Scientist,4,Bangalore,43277,95591,89313,70628,Junior,1-6
101,Siemens,Data Scientist,4,Bangalore,98747,95603,89314,70628,Junior,1-6
102,ANZ Bank,Data Scientist,4,Bangalore,151229,95602,89313,70628,Mid,7-14
103,Lowe's Home Improvement,Data Scientist,4,Bangalore,175293,95589,89313,70628,Mid,7-14
104,Nones,Data Scientist,4,Bangalore,119794,95570,89312,70628,Mid,7-14
105,Bristlecone,Data Scientist,4,Bangalore,92354,95565,89311,70628,Junior,1-6
106,Altimetrik,Data Scientist,4,Bangalore,58714,95565,89311,70605,Junior,1-6
107,Head Digital Works,Data Scientist,4,Bangalore,97754,95574,89312,70628,Junior,1-6
108,Artivatic Data Labs,Data Scientist,4,Bangalore,64975,95574,89312,70605,Junior,1-6
109,HDFC Standard Life Insurance,Data Scientist,4,Bangalore,117753,95581,89312,70628,Mid,7-14
110,AntWorks,Data Scientist,4,Bangalore,119492,95576,89312,70605,Mid,7-14
111,American Express,Data Scientist,4,Bangalore,169320,95570,89311,70581,Mid,7-14
112,ITC Infotech,Data Scientist,4,Bangalore,41481,95552,89310,70547,Junior,1-6
113,Aidetic,Data Scientist,4,Bangalore,70419,95565,89311,70581,Junior,1-6
114,NeenOpal,Data Scientist,4,Bangalore,59000,95571,89311,70605,Junior,1-6
115,Knowledge Foundry,Data Scientist,4,Bangalore,111906,95580,89312,70628,Mid,7-14
116,Mindtree,Data Scientist,4,Bangalore,66922,95576,89311,70605,Junior,1-6
117,Nones,Data Scientist,3,Bangalore,101397,95583,89312,70628,Mid,7-14
118,TVS Motor Company,Data Scientist,3,Bangalore,125280,95581,89311,70605,Mid,7-14
119,MakeMyTrip,Data Scientist,3,Bangalore,84000,95574,89311,70581,Junior,1-6
120,ShieldSquare,Data Scientist,3,Bangalore,76161,95577,89311,70547,Junior,1-6
121,Tech Data,Data Scientist,3,Bangalore,120000,95582,89311,70513,Mid,7-14
122,Publicis Sapient,Data Scientist,3,Bangalore,167040,95576,89311,70513,Mid,7-14
123,Hinduja Global Solutions,Data Scientist,3,Bangalore,128464,95559,89310,70513,Mid,7-14
124,GE Digital,Data Scientist,3,Bangalore,165310,95551,89309,70513,Mid,7-14
125,GlobusSoft,Data Scientist,3,Bangalore,38539,95535,89308,70513,Junior,1-6
126,MakeMyTrip,Data Scientist,3,Bangalore,120000,95548,89309,70513,Mid,7-14
127,Artificial Learning Systems,Data Scientist,3,Bangalore,112474,95542,89309,70513,Mid,7-14
128,Dailyhunt,Data Scientist,3,Bangalore,260000,95538,89308,70499,Mid,7-14
129,Draup,Data Scientist,3,Bangalore,185910,95499,89306,70485,Mid,7-14
130,SwitchOn,Data Scientist,3,Bangalore,66978,95478,89305,70431,Junior,1-6
131,PwC,Data Scientist,3,Bangalore,120587,95485,89305,70485,Mid,7-14
132,Innodatatics,Data Scientist,3,Bangalore,42846,95479,89304,70431,Junior,1-6
133,Robert Bosch,Data Scientist,3,Bangalore,118035,95491,89305,70485,Mid,7-14
134,Two Roads Tech,Data Scientist,3,Bangalore,381291,95486,89305,70431,Mid,15-25
135,ExxonMobil,Data Scientist,3,Bangalore,287343,95418,89301,70377,Mid,7-14
136,Bidgely,Data Scientist,3,Bangalore,143848,95372,89298,70360,Mid,7-14
137,IQVIA,Data Scientist,3,Bangalore,89912,95361,89297,70342,Junior,1-6
138,ShareChat,Data Scientist,3,Bangalore,230000,95362,89297,70342,Mid,7-14
139,Course5 Intelligence,Data Scientist,3,Bangalore,82507,95330,89295,70342,Junior,1-6
140,MAERSK,Data Scientist,3,Bangalore,220717,95333,89295,70342,Mid,7-14
141,Caterpillar,Data Scientist,3,Bangalore,152633,95303,89293,70341,Mid,7-14
142,Bepec Solutions,Data Scientist,3,Bangalore,60000,95289,89292,70341,Junior,1-6
143,NetApp,Data Scientist,3,Bangalore,287554,95298,89292,70341,Mid,7-14
144,Exposys Data Labs,Data Scientist,3,Bangalore,43344,95252,89289,70341,Junior,1-6
145,Spoonshot,Data Scientist,3,Bangalore,161553,95264,89290,70341,Mid,7-14
146,InMobi,Data Scientist,3,Bangalore,170000,95248,89289,70341,Mid,7-14
147,Swiss Re,Data Scientist,3,Bangalore,135280,95231,89288,70341,Mid,7-14
148,TheMathCompany,Data Scientist,3,Bangalore,60000,95221,89287,70341,Junior,1-6
149,Shell,Data Scientist,3,Bangalore,214877,95230,89288,70341,Mid,7-14
150,Flip Robo,Data Scientist,3,Bangalore,34697,95201,89286,70341,Junior,1-6
151,HCL,Data Scientist,3,Bangalore,34792,95215,89286,70341,Junior,1-6
152,upGrad,Data Scientist,3,Bangalore,128464,95230,89287,70341,Mid,7-14
153,Legato Health Technologies,Data Scientist,3,Bangalore,120000,95222,89287,70341,Mid,7-14
154,Terra Economics and Analytics Lab,Data Scientist,3,Bangalore,72000,95216,89286,70341,Junior,1-6
155,HDFC Bank,Data Scientist,3,Bangalore,110538,95222,89286,70341,Mid,7-14
156,Halodoc,Data Scientist,3,Bangalore,187920,95218,89286,70341,Mid,7-14
157,Analytical Wizards,Data Scientist,3,Bangalore,60000,95196,89284,70341,Junior,1-6
158,PayPal,Data Scientist,3,Bangalore,35300,95204,89285,70341,Junior,1-6
159,GE,Data Scientist,3,Bangalore,100762,95218,89286,70341,Mid,7-14
160,Manthan,Data Scientist,3,Bangalore,125441,95217,89286,70341,Mid,7-14
161,Visa Inc.,Data Scientist,3,Bangalore,32400,95210,89285,70341,Junior,1-6
162,Tech Mahindra,Data Scientist,3,Bangalore,150000,95225,89286,70341,Mid,7-14
163,Data Semantics,Data Scientist,3,Bangalore,36220,95212,89285,70341,Junior,1-6
164,GE Aviation,Data Scientist,3,Bangalore,134968,95226,89286,70341,Mid,7-14
165,Landmark Group,Data Scientist,3,Bangalore,160580,95216,89285,70341,Mid,7-14
166,Neustar,Data Scientist,3,Bangalore,192366,95201,89284,70316,Mid,7-14
167,Axis Bank,Data Scientist,3,Bangalore,117168,95177,89282,70290,Mid,7-14
168,Comviva,Data Scientist,3,Bangalore,90000,95172,89281,70277,Junior,1-6
169,iQuanti,Data Scientist,3,Bangalore,204645,95173,89281,70264,Mid,7-14
170,Mercedes-Benz International,Data Scientist,2,Bangalore,111880,95147,89279,70256,Mid,7-14
171,Zoom Video Communications,Data Scientist,2,Bangalore,283907,95143,89279,70248,Mid,7-14
172,Money View,Data Scientist,2,Bangalore,143857,95098,89275,70238,Mid,7-14
173,nference,Data Scientist,2,Bangalore,193023,95086,89274,70228,Mid,7-14
174,KrazyBee,Data Scientist,2,Bangalore,114960,95063,89273,70228,Mid,7-14
175,Applied Materials,Data Scientist,2,Bangalore,140776,95058,89272,70228,Mid,7-14
176,Mavenir,Data Scientist,2,Bangalore,96130,95047,89271,70200,Junior,1-6
177,Molecular Connections,Data Scientist,2,Bangalore,51656,95047,89271,70172,Junior,1-6
178,Yodlee,Data Scientist,2,Bangalore,231564,95057,89272,70200,Mid,7-14
179,NovelSynth Soft Solutions,Data Scientist,2,Bangalore,54558,95024,89269,70172,Junior,1-6
180,Locus,Data Scientist,2,Bangalore,247292,95034,89270,70200,Mid,7-14
181,IVYTEL Technologies,Data Scientist,2,Bangalore,49679,94997,89267,70172,Junior,1-6
182,Sumyag,Data Scientist,2,Bangalore,77066,95008,89267,70200,Junior,1-6
183,Wabtec,Data Scientist,2,Bangalore,242096,95013,89268,70172,Mid,7-14
184,VMware,Data Scientist,2,Bangalore,207935,94977,89265,70135,Mid,7-14
185,Wipro Digital,Data Scientist,2,Bangalore,120739,94950,89262,70097,Mid,7-14
186,Zycus,Data Scientist,2,Bangalore,90446,94944,89262,70049,Junior,1-6
187,Tyson Foods,Data Scientist,2,Bangalore,182554,94945,89262,70001,Mid,7-14
188,OceanFrogs,Data Scientist,2,Bangalore,44404,94924,89260,70001,Junior,1-6
189,Lenovo,Data Scientist,2,Bangalore,191724,94936,89261,70001,Mid,7-14
190,Tata,Data Scientist,2,Bangalore,161229,94913,89259,70001,Mid,7-14
191,Simplilearn Solutions,Data Scientist,2,Bangalore,76176,94897,89257,70000,Junior,1-6
192,Dun & Bradstreet,Data Scientist,2,Bangalore,48202,94901,89257,70000,Junior,1-6
193,AlmaBetter,Data Scientist,2,Bangalore,72919,94912,89258,70000,Junior,1-6
194,CreditNirvana,Data Scientist,2,Bangalore,124598,94918,89259,70000,Mid,7-14
195,DONE by NONE,Data Scientist,2,Bangalore,75073,94911,89258,70000,Junior,1-6
196,Accenture,Data Scientist,2,Bangalore,131940,94915,89258,70000,Mid,7-14
197,SymphonyAI,Data Scientist,2,Bangalore,46272,94906,89257,70000,Junior,1-6
198,First Student,Data Scientist,2,Bangalore,50100,94918,89258,70000,Junior,1-6
199,Datamatics Global Services,Data Scientist,2,Bangalore,122316,94929,89259,70000,Mid,7-14
200,Razorpay,Data Scientist,2,Bangalore,142398,94922,89258,70000,Mid,7-14
201,NTT Ltd.,Data Scientist,2,Bangalore,161187,94911,89257,70000,Mid,7-14
202,HP Inc.,Data Scientist,2,Bangalore,205096,94895,89256,70000,Mid,7-14
203,Marlabs,Data Scientist,2,Bangalore,130402,94868,89253,70000,Mid,7-14
204,Optum Global Solutions,Data Scientist,2,Bangalore,121310,94860,89252,70000,Mid,7-14
205,Reckonsys,Data Scientist,2,Bangalore,133376,94853,89252,70000,Mid,7-14
206,Apisero,Data Scientist,2,Bangalore,95000,94844,89251,70000,Junior,1-6
207,Aruba Networks,Data Scientist,2,Bangalore,151849,94844,89251,70000,Mid,7-14
208,Intellicar,Data Scientist,2,Bangalore,132725,94830,89249,70000,Mid,7-14
209,ORMAE,Data Scientist,2,Bangalore,50234,94821,89248,70000,Junior,1-6
210,CROPIN TECHNOLOGY SOLUTIONS,Data Scientist,2,Bangalore,42596,94832,89249,70000,Junior,1-6
211,Belong,Data Scientist,2,Bangalore,143353,94844,89250,70000,Mid,7-14
212,Mobile Premier League,Data Scientist,2,Bangalore,240458,94833,89249,70000,Mid,7-14
213,Smiths Detection,Data Scientist,2,Bangalore,156048,94797,89245,70000,Mid,7-14
214,Shubh Loans,Data Scientist,2,Bangalore,99687,94783,89244,70000,Junior,1-6
215,TCS,Data Scientist,2,Bangalore,353235,94781,89244,70000,Mid,15-25
216,HP Inc.,Data Scientist,2,Bangalore,70342,94719,89238,70000,Junior,1-6
217,Aditya Birla Group,Data Scientist,2,Bangalore,163520,94725,89238,70000,Mid,7-14
218,Morgan Stanley,Data Scientist,2,Bangalore,129923,94708,89236,70000,Mid,7-14
219,Publicis Sapient,Data Scientist,2,Bangalore,39660,94699,89235,70000,Junior,1-6
220,DataVal Analytics,Data Scientist,2,Bangalore,69505,94713,89237,70000,Junior,1-6
221,Thomson Reuters,Data Scientist,2,Bangalore,153294,94719,89237,70000,Mid,7-14
222,Numerify,Data Scientist,2,Bangalore,253066,94705,89236,70000,Mid,7-14
223,Kabbage,Data Scientist,2,Bangalore,206547,94666,89232,70000,Mid,7-14
224,Loyalytics Consulting,Data Scientist,2,Bangalore,71212,94639,89229,70000,Junior,1-6
225,Monsanto Company,Data Scientist,2,Bangalore,197597,94645,89229,70000,Mid,7-14
226,FOKAL,Data Scientist,2,Bangalore,108536,94620,89227,70000,Mid,7-14
227,Sutherland,Data Scientist,2,Bangalore,106486,94616,89226,70000,Mid,7-14
228,Hypersonix (CA),Data Scientist,2,Bangalore,314693,94613,89226,69987,Mid,15-25
229,Boeing,Data Scientist,2,Bangalore,226631,94560,89220,69974,Mid,7-14
230,Utopus Insights,Data Scientist,2,Bangalore,116304,94528,89217,69960,Mid,7-14
231,Apple,Data Scientist,2,Bangalore,85737,94522,89216,69946,Junior,1-6
232,GetupForChange Services,Data Scientist,2,Bangalore,68169,94525,89216,69934,Junior,1-6
233,MIQ Logistics,Data Scientist,2,Bangalore,60139,94531,89217,69946,Junior,1-6
234,Zendrive,Data Scientist,2,Bangalore,157484,94539,89218,69960,Mid,7-14
235,Honeywell,Data Scientist,2,Bangalore,84136,94524,89216,69946,Junior,1-6
236,Paytm,Data Scientist,2,Bangalore,54968,94527,89216,69934,Junior,1-6
237,Unilever,Data Scientist,2,Bangalore,170556,94536,89217,69946,Mid,7-14
238,Conduent,Data Scientist,2,Bangalore,84624,94518,89215,69934,Junior,1-6
239,Accenture,Data Scientist,2,Bangalore,79811,94520,89215,69922,Junior,1-6
240,DONE by NONE,Data Scientist,2,Bangalore,58039,94524,89215,69895,Junior,1-6
241,Netenrich Inc.,Data Scientist,2,Bangalore,116476,94533,89216,69922,Mid,7-14
242,Majorel,Data Scientist,2,Bangalore,134725,94527,89215,69895,Mid,7-14
243,Polynomial.Ai,Data Scientist,2,Bangalore,50003,94517,89214,69867,Junior,1-6
244,HARMAN,Data Scientist,2,Bangalore,63875,94528,89215,69895,Junior,1-6
245,Mbb Labs,Data Scientist,2,Bangalore,120470,94536,89216,69922,Mid,7-14
246,Analytics Vidhya,Data Scientist,2,Bangalore,35265,94529,89215,69895,Junior,1-6
247,KPMG,Data Scientist,2,Bangalore,87456,94544,89216,69922,Junior,1-6
248,Inference Labs,Data Scientist,2,Bangalore,63728,94546,89217,69895,Junior,1-6
249,Cartesian Consulting,Data Scientist,2,Bangalore,95442,94553,89217,69922,Junior,1-6
250,ZedEye Labs,Data Scientist,2,Bangalore,93381,94553,89217,69895,Junior,1-6
251,McAfee,Data Scientist,2,Bangalore,118183,94553,89217,69867,Mid,7-14
252,Zinnov Management Consulting,Data Scientist,2,Bangalore,106850,94547,89216,69867,Mid,7-14
253,Microsoft,Data Scientist,2,Bangalore,100628,94544,89216,69867,Mid,7-14
254,Simpl,Data Scientist,2,Bangalore,196284,94543,89215,69867,Mid,7-14
255,Unisys,Data Scientist,2,Bangalore,110470,94518,89212,69867,Mid,7-14
256,Shaw Academy,Data Scientist,2,Bangalore,143370,94514,89212,69867,Mid,7-14
257,Rakuten,Data Scientist,2,Bangalore,192955,94502,89210,69867,Mid,7-14
258,Blue Yonder,Data Scientist,2,Bangalore,218421,94478,89208,69829,Mid,7-14
259,SalesKen,Data Scientist,2,Bangalore,103979,94448,89204,69790,Mid,7-14
260,Danske IT and Support Services,Data Scientist,2,Bangalore,83177,94445,89204,69787,Junior,1-6
261,Samsung Electronics,Data Scientist,2,Bangalore,219757,94448,89204,69784,Mid,7-14
262,Sonata Software,Data Scientist,2,Bangalore,62733,94417,89200,69734,Junior,1-6
263,Merck KGaA,Data Scientist,2,Bangalore,82776,94425,89201,69784,Junior,1-6
264,GE,Data Scientist,2,Bangalore,40080,94428,89201,69734,Junior,1-6
265,InViz AI Solutions,Data Scientist,2,Bangalore,77683,94441,89202,69784,Junior,1-6
266,Sumyag,Data Scientist,2,Bangalore,35424,94445,89203,69734,Junior,1-6
267,Samsung R&D Institute India - Bangalore,Data Scientist,2,Bangalore,197554,94460,89204,69784,Mid,7-14
268,Quess,Data Scientist,2,Bangalore,78149,94435,89201,69734,Junior,1-6
269,QuEST Global,Data Scientist,2,Bangalore,140837,94439,89202,69683,Mid,7-14
270,Ong & Shan,Data Scientist,2,Bangalore,87840,94427,89200,69683,Junior,1-6
271,PayU,Data Scientist,2,Bangalore,201893,94429,89200,69682,Mid,7-14
272,Encora,Data Scientist,2,Bangalore,125642,94402,89197,69682,Mid,7-14
273,Tata Consultancy Services,Data Scientist,2,Bangalore,142783,94395,89196,69682,Mid,7-14
274,Accenture,Data Scientist,2,Bangalore,71527,94383,89194,69628,Junior,1-6
275,Walmart eCommerce,Data Scientist,2,Bangalore,292335,94388,89195,69574,Mid,7-14
276,Nivetti Systems,Data Scientist,2,Bangalore,74700,94340,89189,69510,Junior,1-6
277,Prescience,Data Scientist,2,Bangalore,143731,94345,89189,69446,Mid,7-14
278,Thoughtworks,Data Scientist,2,Bangalore,86546,94332,89188,69397,Junior,1-6
279,Prognos Health,Data Scientist,2,Bangalore,158816,94334,89188,69347,Mid,7-14
280,TECH I.S,Data Scientist,2,Bangalore,79393,94318,89186,69300,Junior,1-6
281,Virtusa,Data Scientist,2,Bangalore,48174,94322,89186,69253,Junior,1-6
282,Zeta Suite,Data Scientist,2,Bangalore,127748,94333,89187,69300,Mid,7-14
283,Halliburton,Data Scientist,2,Bangalore,82054,94325,89186,69253,Junior,1-6
284,Apar Technologies,Data Scientist,2,Bangalore,162487,94328,89186,69248,Mid,7-14
285,DataMites,Data Scientist,2,Bangalore,52912,94311,89184,69242,Junior,1-6
286,Cerner,Data Scientist,2,Bangalore,139281,94322,89185,69248,Mid,7-14
287,Juniper Networks,Data Scientist,2,Bangalore,256194,94311,89184,69242,Mid,7-14
288,Idexcel,Data Scientist,2,Bangalore,70978,94271,89178,69240,Junior,1-6
289,L&T Technology Services,Data Scientist,2,Bangalore,55553,94276,89179,69237,Junior,1-6
290,Tiger Analytics,Data Scientist,2,Bangalore,63129,94286,89180,69240,Junior,1-6
291,Capital One,Data Scientist,2,Bangalore,158861,94294,89181,69242,Mid,7-14
292,Zeotap,Data Scientist,2,Bangalore,90228,94278,89179,69240,Junior,1-6
293,Bright Money,Data Scientist,2,Bangalore,273972,94279,89179,69237,Mid,7-14
294,Hakkasan Group,Data Scientist,1,Bangalore,58900,94234,89173,69211,Junior,1-6
295,Thoucentric,Data Scientist,1,Bangalore,48000,94243,89174,69237,Junior,1-6
296,SelfEmployed.com,Data Scientist,1,Bangalore,60195,94254,89175,69240,Junior,1-6
297,The Smart Cube,Data Scientist,1,Bangalore,100326,94263,89176,69242,Mid,7-14
298,Standard Chartered Global Business Services,Data Scientist,1,Bangalore,268263,94261,89176,69240,Mid,7-14
299,Ambee (India),Data Scientist,1,Bangalore,92090,94218,89170,69237,Junior,1-6
300,Intuit,Data Scientist,1,Bangalore,309534,94219,89170,69211,Mid,15-25
301,Diageo,Data Scientist,1,Bangalore,165917,94166,89163,69184,Mid,7-14
302,Robosoft Technologies,Data Scientist,1,Bangalore,42846,94148,89160,69138,Junior,1-6
303,Perpule,Data Scientist,1,Bangalore,129242,94160,89162,69184,Mid,7-14
304,WyzMindz,Data Scientist,1,Bangalore,42144,94152,89161,69138,Junior,1-6
305,Tavant,Data Scientist,1,Bangalore,56118,94165,89162,69184,Junior,1-6
306,Nabler Web Solutions,Data Scientist,1,Bangalore,81118,94174,89163,69211,Junior,1-6
307,Mahindra,Data Scientist,1,Bangalore,107975,94177,89163,69184,Mid,7-14
308,noon,Data Scientist,1,Bangalore,60838,94174,89163,69138,Junior,1-6
309,Biocon,Data Scientist,1,Bangalore,50774,94182,89164,69184,Junior,1-6
310,Snipe Tech Pvt Ltd.,Data Scientist,1,Bangalore,39984,94193,89165,69211,Junior,1-6
311,PwC,Data Scientist,1,Bangalore,60000,94206,89167,69237,Junior,1-6
312,Hewlett-Packard,Data Scientist,1,Bangalore,220414,94215,89168,69240,Mid,7-14
313,WayCool Foods & Products,Data Scientist,1,Bangalore,83098,94184,89163,69237,Junior,1-6
314,Ithink Technologies,Data Scientist,1,Bangalore,31319,94186,89163,69211,Junior,1-6
